dataset	tf	intra_group_weight	inter_group_weight	overlapping_group_weight	final_k
GSE20303	phf8	2.0751948175839834	2.2563643020351782	0.9952355082886162	4.66008627158636
GSE22478	e2f1	0.6875578507096088	2.919910229862498	0.861315779891971	1.7291837628292113
GSE22478	phf8	0.7102427608728371	2.339729982849626	0.7581303181678766	1.2598429819393684
GSE31417	gabpa	2.294752609359256	1.8913374395841849	1.0186474246381962	4.421084173139199
GSE31417	hcfc1	2.6030031624638004	1.776273293814662	1.0198022450254622	4.715203552424064
GSE31417	yy1	3.843290292449456	1.8708880899623472	1.0224916706905185	7.3520893794018685
GSE31417	znf143	1.3987594788089177	1.8541837932727716	1.0276535861052474	2.665278312434625
GSE39263	znf143	1.173929267771294	3.0902993130974377	0.9517850541700569	3.452878976010947
GSE40632	aff4	1.0419825299223624	0.9801524655057209	0.6574182395624868	0.6714223957315567
GSE40632	ell2	0.9528369528664166	1.2551679088370125	0.7336751519561592	0.8774537397107527
GSE44672	myc	2.591328459627788	2.7572646620972043	0.9811860206609953	7.0105529138185645
GSE45441	rcor1	1.0319145306281545	1.0986973857876696	1.134376555207449	1.28611280188529
GSE45441	sfmbt1	1.2055983033310296	1.4685340688911328	0.7851466674295069	1.3900724818808354
GSE46237	nr2c2	14.567232533059714	1.5469491778075157	0.7633939277474164	10
GSE51633	brd4	0.9662817120998941	3.0507602144386414	0.8874017577480128	2.615966142626587
